"filename", "language", "YAML", "XML", "JSON", "Markdown", "C#", "comment", "blank", "total"
"d:\Hexalith\Hexalith\src\Core\Common\Hexalith.Extensions\Configuration\ISettings.cs", "C#", 0, 0, 0, 0, 5, 12, 2, 19
"d:\Hexalith\Hexalith\src\Core\Common\Hexalith.Extensions\Configuration\OptionsHelper.cs", "C#", 0, 0, 0, 0, 12, 15, 3, 30
"d:\Hexalith\Hexalith\src\Core\Common\Hexalith.Extensions\Configuration\README..md", "Markdown", 0, 0, 0, 45, 0, 0, 15, 60
"d:\Hexalith\Hexalith\src\Core\Common\Hexalith.Extensions\Helpers\ArrayHelper.cs", "C#", 0, 0, 0, 0, 8, 14, 2, 24
"d:\Hexalith\Hexalith\src\Core\Common\Hexalith.Extensions\Helpers\DateHelper.cs", "C#", 0, 0, 0, 0, 16, 19, 6, 41
"d:\Hexalith\Hexalith\src\Core\Common\Hexalith.Extensions\Helpers\ExceptionHelper.cs", "C#", 0, 0, 0, 0, 22, 13, 5, 40
"d:\Hexalith\Hexalith\src\Core\Common\Hexalith.Extensions\Helpers\FibonacciSequence.cs", "C#", 0, 0, 0, 0, 29, 14, 7, 50
"d:\Hexalith\Hexalith\src\Core\Common\Hexalith.Extensions\Helpers\README..md", "Markdown", 0, 0, 0, 5, 0, 0, 1, 6
"d:\Hexalith\Hexalith\src\Core\Common\Hexalith.Extensions\Helpers\StringHelper.cs", "C#", 0, 0, 0, 0, 37, 48, 11, 96
"d:\Hexalith\Hexalith\src\Core\Common\Hexalith.Extensions\Helpers\UniqueIdHelper.cs.cs", "C#", 0, 0, 0, 0, 27, 16, 6, 49
"d:\Hexalith\Hexalith\src\Core\Common\Hexalith.Extensions\Hexalith.Extensions.csproj", "XML", 0, 9, 0, 0, 0, 0, 1, 10
"d:\Hexalith\Hexalith\src\Core\Common\Hexalith.Extensions\README.md", "Markdown", 0, 0, 0, 5, 0, 0, 2, 7
"d:\Hexalith\Hexalith\src\Core\Common\Hexalith.Extensions\Serialization\JsonPolymorphicBaseClassAttribute.cs", "C#", 0, 0, 0, 0, 11, 17, 6, 34
"d:\Hexalith\Hexalith\src\Core\Common\Hexalith.Extensions\Serialization\README..md", "Markdown", 0, 0, 0, 21, 0, 0, 3, 24
"d:\Hexalith\Hexalith\src\Core\Common\Hexalith.TestMocks\Hexalith.TestMocks.csproj", "XML", 0, 18, 0, 0, 0, 0, 1, 19
"d:\Hexalith\Hexalith\src\Core\Common\Hexalith.TestMocks\HttpClientFactoryBuilder.cs", "C#", 0, 0, 0, 0, 51, 26, 11, 88
"d:\Hexalith\Hexalith\src\Core\Common\Hexalith.TestMocks\IMockBuilder.cs", "C#", 0, 0, 0, 0, 8, 17, 4, 29
"d:\Hexalith\Hexalith\src\Core\Common\Hexalith.TestMocks\LoggerBuilder.cs", "C#", 0, 0, 0, 0, 14, 17, 5, 36
"d:\Hexalith\Hexalith\src\Core\Common\Hexalith.TestMocks\OptionsBuilder.cs", "C#", 0, 0, 0, 0, 43, 31, 13, 87
"d:\Hexalith\Hexalith\src\Core\Common\README.md", "Markdown", 0, 0, 0, 5, 0, 0, 2, 7
"d:\Hexalith\Hexalith\src\Core\Directory.Build.props", "XML", 0, 10, 0, 0, 0, 0, 0, 10
"d:\Hexalith\Hexalith\src\Core\Domain\Hexalith.Domain.Abstractions\Events\BaseEvent.cs", "C#", 0, 0, 0, 0, 7, 15, 6, 28
"d:\Hexalith\Hexalith\src\Core\Domain\Hexalith.Domain.Abstractions\Events\IEvent.cs", "C#", 0, 0, 0, 0, 5, 8, 3, 16
"d:\Hexalith\Hexalith\src\Core\Domain\Hexalith.Domain.Abstractions\Hexalith.Domain.Abstractions.csproj", "XML", 0, 8, 0, 0, 0, 0, 1, 9
"d:\Hexalith\Hexalith\src\Core\Domain\Hexalith.Domain.Abstractions\Messages\BaseMessage.cs", "C#", 0, 0, 0, 0, 39, 36, 15, 90
"d:\Hexalith\Hexalith\src\Core\Domain\Hexalith.Domain.Abstractions\Messages\IMessage.cs", "C#", 0, 0, 0, 0, 9, 23, 6, 38
"d:\Hexalith\Hexalith\src\Core\Domain\Hexalith.Domain.Abstractions\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 2, 3
"d:\Hexalith\Hexalith\src\Core\Domain\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 2, 4
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.AzureActiveDirectory\AzureActiveDirectoryApplicationSecurityContext.cs", "C#", 0, 0, 0, 0, 61, 14, 10, 85
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.AzureActiveDirectory\Configurations\AzureActiveDirectoryApplicationSecurityContextConfiguration.cs", "C#", 0, 0, 0, 0, 7, 17, 4, 28
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.AzureActiveDirectory\Hexalith.Infrastructure.AzureActiveDirectory.csproj", "XML", 0, 13, 0, 0, 0, 0, 1, 14
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.AzureActiveDirectory\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 1, 2
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.DaprAggregateActor\ActorStateStoreProvider.cs", "C#", 0, 0, 0, 0, 31, 13, 12, 56
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.DaprAggregateActor\AggregateActorStateManager.cs", "C#", 0, 0, 0, 0, 118, 87, 23, 228
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.DaprAggregateActor\CommandState.cs", "C#", 0, 0, 0, 0, 32, 28, 8, 68
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.DaprAggregateActor\EventState.cs", "C#", 0, 0, 0, 0, 32, 28, 7, 67
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.DaprAggregateActor\Hexalith.Infrastructure.DaprAggregateActor.csproj", "XML", 0, 12, 0, 0, 0, 0, 1, 13
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.DaprAggregateActor\MessageState.cs", "C#", 0, 0, 0, 0, 24, 35, 9, 68
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.DaprAggregateActor\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 1, 2
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.DaprBus\DaprApplicationBus.cs", "C#", 0, 0, 0, 0, 77, 26, 14, 117
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.DaprBus\EventStoreItemNotFoundException.cs", "C#", 0, 0, 0, 0, 31, 38, 11, 80
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.DaprBus\Hexalith - Backup.Infrastructure.DaprBus.csproj", "XML", 0, 15, 0, 0, 0, 0, 1, 16
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.DaprBus\Hexalith.Infrastructure.DaprBus.csproj", "XML", 0, 12, 0, 0, 0, 0, 1, 13
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.DaprBus\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 1, 2
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.DaprHandlers\ActorCommandEnvelope.cs", "C#", 0, 0, 0, 0, 17, 23, 7, 47
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.DaprHandlers\CommandDispatcher.cs", "C#", 0, 0, 0, 0, 42, 28, 13, 83
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.DaprHandlers\ConventionNamingCommandProcessor.cs", "C#", 0, 0, 0, 0, 21, 18, 8, 47
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.DaprHandlers\Helpers\DaprHandlersHelper.cs", "C#", 0, 0, 0, 0, 12, 14, 5, 31
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.DaprHandlers\Hexalith.Infrastructure.DaprHandlers.csproj", "XML", 0, 12, 0, 0, 0, 0, 1, 13
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.DaprHandlers\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 1, 2
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.DaprMessageStore\ActorMessageStore.cs", "C#", 0, 0, 0, 0, 122, 65, 27, 214
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.DaprMessageStore\Hexalith.Infrastructure.DaprMessageStore.csproj", "XML", 0, 12, 0, 0, 0, 0, 1, 13
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.DaprMessageStore\MessageStoreItemNotFoundException.cs", "C#", 0, 0, 0, 0, 31, 38, 11, 80
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.DaprMessageStore\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 1, 2
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.Dynamics365FinanceAndOperations.TestMocks\Dynamics365FinanceAndOperationsClientBuilder.cs", "C#", 0, 0, 0, 0, 50, 33, 13, 96
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.Dynamics365FinanceAndOperations.TestMocks\Dynamics365FinanceAndOperationsSecurityContextBuilder.cs", "C#", 0, 0, 0, 0, 35, 22, 9, 66
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.Dynamics365FinanceAndOperations.TestMocks\Hexalith.Infrastructure.Dynamics365FinanceAndOperations.TestMocks.csproj", "XML", 0, 12, 0, 0, 0, 0, 1, 13
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.Dynamics365FinanceAndOperations.TestMocks\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 1, 2
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.Dynamics365FinanceAndOperations\BusinessEvents\Dynamics365BusinessEventBase.cs", "C#", 0, 0, 0, 0, 95, 77, 29, 201
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.Dynamics365FinanceAndOperations\BusinessEvents\Dynamics365BusinessEventValidator.cs", "C#", 0, 0, 0, 0, 18, 11, 4, 33
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.Dynamics365FinanceAndOperations\Client\Dynamics365FinanceAndOperationsClient.cs", "C#", 0, 0, 0, 0, 154, 102, 34, 290
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.Dynamics365FinanceAndOperations\Client\Dynamics365FinanceAndOperationsClient{Get}.cs", "C#", 0, 0, 0, 0, 165, 25, 25, 215
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.Dynamics365FinanceAndOperations\Client\Dynamics365FinanceAndOperationsClient{Patch}.cs", "C#", 0, 0, 0, 0, 99, 15, 14, 128
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.Dynamics365FinanceAndOperations\Client\Dynamics365FinanceAndOperationsClient{Post}.cs", "C#", 0, 0, 0, 0, 77, 13, 12, 102
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.Dynamics365FinanceAndOperations\Client\Dynamics365FinancePatchException.cs", "C#", 0, 0, 0, 0, 59, 54, 18, 131
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.Dynamics365FinanceAndOperations\Client\Dynamics365FinancePostException.cs", "C#", 0, 0, 0, 0, 59, 54, 18, 131
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.Dynamics365FinanceAndOperations\Client\GetSingleRequestFailedException.cs", "C#", 0, 0, 0, 0, 35, 55, 13, 103
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.Dynamics365FinanceAndOperations\Client\IDynamics365FinanceAndOperationsClient.cs", "C#", 0, 0, 0, 0, 34, 183, 31, 248
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.Dynamics365FinanceAndOperations\Configurations\Dynamics365FinanceAndOperationsClientSettings.cs", "C#", 0, 0, 0, 0, 13, 30, 6, 49
"d:\Hexalith\Hexalith\src\Core\Infrastructure\Hexalith.Infrastructure.Dynamics365FinanceAndOperations\Controllers\Dynamics365FinanceBindingController.cs", "C#", 0, 0, 0, 0, 49, 25, 12, 86
